nr_pedido,romaneios_distintos
556873,6
555569,5
557268,5
556767,4
557124,4
557254,4
557267,4
557458,4
557787,4
558857,4
556112,3
556790,3
557018,3
557137,3
557965,3
558450,3
556282,2
556714,2
556808,2
556818,2
557217,2
557265,2
557269,2
557461,2
557475,2
557483,2
557840,2
557863,2
557864,2
557866,2
557880,2
557884,2
557886,2
557893,2
557896,2
557897,2
557898,2
557941,2
557946,2
557950,2
557964,2
558001,2
558017,2
558018,2
558026,2
558027,2
558043,2
558489,2
558850,2
559078,2
