table_schema,table_name,column_name,data_type,ordinal_position
vtc_stage,_bkp_2logger_syncpoints_20260601,longitude,numeric,7
vtc_stage,_bkp_2logger_syncpoints_20260601,complied,boolean,8
vtc_stage,_bkp_2logger_syncpoints_20260601,source_batch_id,uuid,9
vtc_stage,_bkp_2logger_syncpoints_20260601,sync_source,character varying,10
vtc_stage,_bkp_2logger_syncpoints_20260601,mongo_id,character varying,11
vtc_stage,_bkp_2logger_syncpoints_20260601,mac_address,character varying,12
vtc_stage,_bkp_2logger_syncpoints_20260601,metadata,jsonb,13
vtc_stage,_bkp_2logger_syncpoints_20260601,created_at,timestamp with time zone,14
vtc_stage,_bkp_orfas_emptyref_20260601,ds_tag,text,8
vtc_stage,_bkp_orfas_pendentes_20260601,ds_tag,text,8
vtc_stage,_bkp_palletleak_items_20260601,device_serial,text,3
vtc_stage,_bkp_palletleak_items_20260601,stage_inserted_at,timestamp with time zone,9
vtc_stage,_bkp_palletleak_items_20260601,stage_updated_at,timestamp with time zone,10
vtc_stage,_bkp_palletleak_items_20260601,stage_inserted_by,text,11
vtc_stage,_bkp_palletleak_items_20260601,stage_updated_by,text,12
vtc_stage,_bkp_palletleak_items_20260601,canonical_status,text,15
vtc_stage,_bkp_palletleak_stage_20260601,ds_tag,text,8
vtc_stage,_bkp_palletleak_syncruns_20260601,status,text,7
vtc_stage,_bkp_teste_2logger_554174_20260601,nr_pedido,text,1
vtc_stage,_bkp_teste_2logger_554174_20260601,ds_cliente,text,2
vtc_stage,_bkp_teste_2logger_554174_20260601,cd_uf,text,3
vtc_stage,_bkp_teste_2logger_554174_20260601,dt_coletaefetiva,timestamp with time zone,4
vtc_stage,_bkp_teste_2logger_554174_20260601,dt_entregaefetiva,timestamp with time zone,5
vtc_stage,_bkp_teste_2logger_554174_20260601,ds_programasaude,text,6
vtc_stage,_bkp_teste_2logger_554174_20260601,ds_tipo,text,7
vtc_stage,_bkp_teste_2logger_554174_20260601,ds_tag,text,8
vtc_stage,_bkp_teste_2logger_554174_20260601,cd_referencia,text,9
vtc_stage,_bkp_teste_2logger_554174_20260601,nr_produto,numeric,10
vtc_stage,_bkp_teste_2logger_554174_20260601,cd_produtocliente,text,11
vtc_stage,_bkp_teste_2logger_554174_20260601,ds_temperaturaproduto,text,12
vtc_stage,_bkp_teste_2logger_554174_20260601,ds_descricaocliente,text,13
vtc_stage,_bkp_teste_2logger_554174_20260601,cd_lote,text,14
vtc_stage,_bkp_teste_2logger_554174_20260601,cd_ean,text,15
vtc_stage,_bkp_teste_2logger_554174_20260601,modal,text,16
vtc_stage,_bkp_teste_2logger_554174_20260601,nr_romaneio,bigint,17
vtc_stage,_bkp_teste_2logger_554174_20260601,imported_at,timestamp with time zone,18
vtc_stage,_bkp_teste_2logger_554174_20260601,imported_into_id,uuid,19
vtc_stage,_bkp_teste_2logger_554174_20260601,inserted_at,timestamp with time zone,20
vtc_stage,_bkp_teste_2logger_554174_20260601,inserted_by,text,21
vtc_stage,_bkp_teste_2logger_554174_20260601,updated_at,timestamp with time zone,22
vtc_stage,_bkp_teste_2logger_554174_20260601,updated_by,text,23
vtc_stage,_bkp_teste_2logger_554174_20260601,cd_lpn,text,24
vtc_stage,_bkp_teste_2logger_554174_20260601,dt_coletaefetivaembarque,timestamp with time zone,25
vtc_stage,_bkp_teste_2logger_554174_20260601,dt_entregaefetivaembarque,timestamp with time zone,26
vtc_stage,_bkp_teste_2logger_554174_20260601,id_integracacaocoleta,integer,27
vtc_stage,documentos,ds_tag,text,8
vtc_stage,documentos_alerts,device_serial,text,2
